#
#
#
# V filter used:
#  lambda [A]    filter response
  4600.000      0.0000000E+00
  4625.000      0.0000000E+00
  4650.000      0.0000000E+00
  4675.000      0.0000000E+00
  4700.000      0.0000000E+00
  4725.000      0.0000000E+00
  4750.000      0.0000000E+00
  4775.000      0.0000000E+00
  4800.000      2.9999999E-02
  4825.000      9.6015617E-02
  4850.000      0.1653125
  4875.000      0.2378906
  4900.000      0.3137500
  4925.000      0.3928906
  4950.000      0.4753125
  4975.000      0.5610156
  5000.000      0.6500000
  5025.000      0.7226562
  5050.000      0.7906250
  5075.000      0.8539063
  5100.000      0.9125000
  5125.000      0.9664062
  5150.000       1.015625
  5175.000       1.060156
  5200.000       1.100000
  5225.000       1.120000
  5250.000       1.135000
  5275.000       1.145000
  5300.000       1.150000
  5325.000       1.150000
  5350.000       1.145000
  5375.000       1.135000
  5400.000       1.120000
  5425.000       1.105820
  5450.000       1.088906
  5475.000       1.069258
  5500.000       1.046875
  5525.000       1.021758
  5550.000      0.9939063
  5575.000      0.9633204
  5600.000      0.9300000
  5625.000      0.8925781
  5650.000      0.8540626
  5675.000      0.8144531
  5700.000      0.7737501
  5725.000      0.7319531
  5750.000      0.6890625
  5775.000      0.6450782
  5800.000      0.6000000
  5825.000      0.5543751
  5850.000      0.5100000
  5875.000      0.4668750
  5900.000      0.4250000
  5925.000      0.3843750
  5950.000      0.3450000
  5975.000      0.3068750
  6000.000      0.2700000
  6025.000      0.2416406
  6050.000      0.2153125
  6075.000      0.1910156
  6100.000      0.1687500
  6125.000      0.1485156
  6150.000      0.1303125
  6175.000      0.1141406
  6200.000      0.1000000
  6225.000      8.7421872E-02
  6250.000      7.5937502E-02
  6275.000      6.5546870E-02
  6300.000      5.6249995E-02
  6325.000      4.8046872E-02
  6350.000      4.0937498E-02
  6375.000      3.4921873E-02
  6400.000      2.9999999E-02
  6425.000      2.4062498E-02
  6450.000      1.8750001E-02
  6475.000      1.4062500E-02
  6500.000      9.9999998E-03
  6525.000      6.5624993E-03
  6550.000      3.7500001E-03
  6575.000      1.5624999E-03
  6600.000      0.0000000E+00
