#  Table f775w.tab  Fri 14:43:18 04-Sep-2009

#      WAVELENGTH      THROUGHPUT
#       angstroms                

            4000.     1.627188E-7
         4000.385     1.629728E-7
         4000.772     1.632280E-7
         4001.156     1.634818E-7
         4001.541     1.637360E-7
         4001.927     1.639916E-7
         4002.314     1.642476E-7
         4002.696     1.645008E-7
         4003.081     1.647556E-7
         4003.465     1.650107E-7
         4003.852     1.652673E-7
         4004.237     1.655228E-7
         4004.622     1.657784E-7
         4005.006     1.660341E-7
         4005.396     1.662929E-7
          4005.78     1.665489E-7
         4006.165     1.668051E-7
          4006.55     1.670617E-7
         4006.937     1.673197E-7
         4007.322     1.675767E-7
         4007.707     1.678339E-7
          4008.09     1.680898E-7
         4008.477     1.683490E-7
         4008.865     1.686082E-7
          4009.25     1.688663E-7
         4009.635     1.691245E-7
         4010.022     1.693839E-7
         4010.408     1.696373E-7
         4010.793     1.698907E-7
         4011.178     1.701445E-7
         4011.566     1.704000E-7
         4011.951     1.706542E-7
         4012.339     1.709100E-7
         4012.722     1.711630E-7
          4013.11     1.714191E-7
         4013.495     1.716740E-7
         4013.881     1.719293E-7
         4014.267     1.721845E-7
         4014.655     1.724415E-7
          4015.04     1.726972E-7
         4015.426     1.729530E-7
         4015.816     1.732119E-7
         4016.202     1.734681E-7
         4016.588     1.737243E-7
         4016.974     1.739808E-7
         4017.362     1.742390E-7
         4017.748     1.744960E-7
         4018.132     1.747516E-7
         4018.518     1.750088E-7
         4018.906     1.752675E-7
         4019.294     1.755268E-7
         4019.681     1.757848E-7
         4020.067     1.760444E-7
         4020.455     1.763133E-7
         4020.842     1.765809E-7
         4021.228     1.768487E-7
         4021.614     1.771166E-7
         4022.003     1.773865E-7
         4022.389     1.776549E-7
         4022.778     1.779250E-7
         4023.162     1.781924E-7
         4023.551     1.784630E-7
         4023.937     1.787324E-7
         4024.324     1.790020E-7
         4024.711     1.792718E-7
           4025.1     1.795432E-7
         4025.486     1.798134E-7
         4025.873     1.800837E-7
         4026.262     1.803557E-7
         4026.651     1.806281E-7
         4027.038     1.808990E-7
         4027.425     1.811701E-7
         4027.812     1.814415E-7
         4028.201     1.817146E-7
         4028.586     1.819849E-7
         4028.973     1.822570E-7
          4029.36     1.825293E-7
         4029.751     1.828049E-7
         4030.139     1.830741E-7
         4030.526     1.833368E-7
         4030.915     1.836015E-7
         4031.302     1.838649E-7
          4031.69     1.841284E-7
         4032.077     1.843921E-7
         4032.467     1.846577E-7
         4032.854     1.849218E-7
         4033.242     1.851860E-7
         4033.629     1.854504E-7
         4034.019     1.857164E-7
         4034.406     1.859813E-7
         4034.794     1.862463E-7
         4035.182     1.865116E-7
         4035.572     1.867786E-7
         4035.959     1.870442E-7
         4036.347     1.873101E-7
         4036.737     1.875774E-7
         4037.127     1.878452E-7
         4037.515     1.881114E-7
         4037.903     1.883779E-7
         4038.291     1.886447E-7
         4038.679     1.889118E-7
         4039.067     1.891790E-7
         4039.455     1.894462E-7
         4039.843     1.897137E-7
         4040.236     1.899793E-7
         4040.624     1.902387E-7
         4041.012     1.904982E-7
           4041.4     1.907581E-7
         4041.791     1.910197E-7
         4042.179     1.912798E-7
         4042.567     1.915400E-7
         4042.956     1.918004E-7
         4043.346     1.920627E-7
         4043.735     1.923235E-7
         4044.123     1.925845E-7
         4044.512     1.928458E-7
         4044.903     1.931087E-7
         4045.291     1.933700E-7
          4045.68     1.936316E-7
         4046.071     1.938948E-7
          4046.46     1.941568E-7
         4046.848     1.944189E-7
          4047.24     1.946829E-7
         4047.631     1.949470E-7
         4048.019     1.952096E-7
         4048.408     1.954725E-7
         4048.797     1.957357E-7
         4049.186     1.959988E-7
         4049.575     1.962619E-7
         4049.964     1.965253E-7
         4050.354     1.967826E-7
         4050.745     1.970406E-7
         4051.136     1.972989E-7
         4051.525     1.975558E-7
         4051.915     1.978129E-7
         4052.306     1.980715E-7
         4052.696     1.983289E-7
         4053.085     1.985865E-7
         4053.474     1.988441E-7
         4053.866     1.991032E-7
         4054.255     1.993610E-7
         4054.645     1.996191E-7
         4055.034     1.998773E-7
         4055.426     2.001374E-7
         4055.816     2.003961E-7
         4056.206     2.006549E-7
         4056.595     2.009138E-7
         4056.987     2.011742E-7
         4057.377     2.014336E-7
         4057.767     2.016930E-7
         4058.159     2.019540E-7
         4058.551     2.022149E-7
         4058.941     2.024746E-7
         4059.329     2.027330E-7
         4059.721     2.029943E-7
         4060.111     2.032570E-7
         4060.501     2.035265E-7
         4060.891     2.037961E-7
         4061.284     2.040670E-7
         4061.676     2.043380E-7
         4062.066     2.046077E-7
         4062.457     2.048778E-7
         4062.849     2.051496E-7
          4063.24     2.054200E-7
          4063.63     2.056905E-7
          4064.02     2.059612E-7
         4064.413     2.062336E-7
         4064.801     2.065032E-7
         4065.194     2.067758E-7
         4065.584     2.070472E-7
         4065.977     2.073203E-7
         4066.368     2.075921E-7
         4066.759     2.078640E-7
         4067.149     2.081362E-7
         4067.542     2.084099E-7
         4067.933     2.086821E-7
         4068.324     2.089548E-7
         4068.717     2.092292E-7
          4069.11     2.095037E-7
         4069.501     2.097770E-7
          4069.89     2.100488E-7
         4070.281     2.103260E-7
         4070.674     2.106065E-7
         4071.065     2.108854E-7
         4071.457     2.111646E-7
         4071.848     2.114439E-7
         4072.243     2.117266E-7
         4072.635     2.120060E-7
         4073.026     2.122858E-7
         4073.417     2.125659E-7
         4073.811     2.128478E-7
         4074.202     2.131282E-7
         4074.594     2.134087E-7
         4074.985     2.136896E-7
         4075.376     2.139708E-7
          4075.77     2.142540E-7
         4076.162     2.145356E-7
         4076.556     2.148187E-7
         4076.948     2.151006E-7
         4077.339     2.153824E-7
         4077.731     2.156646E-7
         4078.125     2.159483E-7
         4078.517     2.162308E-7
         4078.908     2.165134E-7
         4079.303     2.167981E-7
         4079.697     2.170828E-7
         4080.086     2.173618E-7
         4080.479     2.176334E-7
         4080.871     2.179051E-7
         4081.265     2.181784E-7
         4081.657     2.184502E-7
         4082.049     2.187221E-7
         4082.441     2.189944E-7
         4082.838     2.192699E-7
          4083.23     2.195423E-7
         4083.623     2.198149E-7
         4084.015     2.200877E-7
          4084.41     2.203624E-7
         4084.802     2.206355E-7
         4085.194     2.209088E-7
         4085.585     2.211809E-7
         4085.979     2.214561E-7
         4086.374     2.217315E-7
         4086.767     2.220055E-7
         4087.159     2.222797E-7
         4087.554     2.225558E-7
         4087.947     2.228303E-7
          4088.34     2.231049E-7
         4088.733     2.233797E-7
         4089.128     2.236562E-7
         4089.521     2.239316E-7
         4089.916     2.242087E-7
         4090.311     2.244866E-7
         4090.702     2.247615E-7
         4091.095     2.250381E-7
         4091.488     2.253151E-7
         4091.883     2.255937E-7
         4092.276     2.258708E-7
         4092.669     2.261482E-7
         4093.062     2.264257E-7
          4093.46     2.267070E-7
         4093.854     2.269850E-7
         4094.247     2.272634E-7
          4094.64     2.275416E-7
         4095.036     2.278215E-7
         4095.429     2.281000E-7
         4095.823     2.283784E-7
         4096.214     2.286559E-7
          4096.61     2.289367E-7
         4097.006     2.292179E-7
         4097.399     2.294973E-7
         4097.793     2.297768E-7
         4098.189     2.300581E-7
         4098.583     2.303378E-7
         4098.977     2.306179E-7
          4099.37     2.308980E-7
         4099.767     2.311803E-7
          4100.16     2.314549E-7
         4100.557     2.317232E-7
         4100.948     2.319883E-7
         4101.344     2.322566E-7
         4101.738     2.325238E-7
         4102.132     2.327909E-7
         4102.527     2.330585E-7
         4102.923     2.333271E-7
         4103.317     2.335948E-7
         4103.711     2.338624E-7
         4104.108     2.341317E-7
         4104.504     2.344013E-7
         4104.899     2.346696E-7
         4105.293     2.349378E-7
          4105.69     2.352075E-7
         4106.084     2.354759E-7
         4106.477     2.357429E-7
         4106.871     2.360116E-7
         4107.268     2.362822E-7
         4107.665     2.365530E-7
          4108.06     2.368222E-7
         4108.454     2.370916E-7
         4108.851     2.373628E-7
         4109.246     2.376326E-7
         4109.641     2.379022E-7
         4110.036     2.381731E-7
         4110.433     2.384557E-7
         4110.828     2.387370E-7
         4111.225     2.390204E-7
         4111.618     2.393004E-7
         4112.015     2.395842E-7
          4112.41     2.398663E-7
         4112.805     2.401486E-7
           4113.2     2.404308E-7
         4113.598     2.407150E-7
         4113.993     2.409975E-7
         4114.388     2.412805E-7
         4114.786     2.415651E-7
         4115.183     2.418498E-7
         4115.579     2.421333E-7
         4115.974     2.424171E-7
          4116.37     2.427008E-7
         4116.767     2.429860E-7
         4117.161     2.432685E-7
         4117.556     2.435525E-7
         4117.952     2.438366E-7
         4118.352     2.441248E-7
         4118.748     2.444097E-7
         4119.143     2.446946E-7
         4119.539     2.449795E-7
         4119.937     2.452661E-7
         4120.333     2.455357E-7
         4120.729     2.458021E-7
         4121.127     2.460705E-7
         4121.523     2.463374E-7
         4121.919     2.466044E-7
         4122.315     2.468713E-7
         4122.711     2.471384E-7
         4123.109     2.474073E-7
         4123.505     2.476748E-7
         4123.901     2.479424E-7
           4124.3     2.482115E-7
         4124.696     2.484792E-7
         4125.092     2.487467E-7
         4125.491     2.490165E-7
          4125.89     2.492860E-7
         4126.286     2.495543E-7
         4126.683     2.498228E-7
         4127.079     2.500915E-7
         4127.476     2.503601E-7
         4127.872     2.506288E-7
         4128.269     2.508978E-7
         4128.666     2.511673E-7
         4129.064     2.514381E-7
