#  Table f850lp.tab  Fri 14:43:32 04-Sep-2009

#      WAVELENGTH      THROUGHPUT
#       angstroms                

            4000.     1.407946E-7
         4000.403     1.407777E-7
         4000.805     1.407609E-7
         4001.207     1.407440E-7
         4001.609     1.407271E-7
         4002.013     1.407101E-7
         4002.415     1.406930E-7
         4002.815     1.406760E-7
         4003.217     1.406589E-7
         4003.619     1.406417E-7
         4004.021     1.406245E-7
         4004.424     1.406071E-7
         4004.826     1.405897E-7
         4005.228     1.405723E-7
         4005.633     1.405546E-7
         4006.035     1.405370E-7
         4006.438     1.405194E-7
          4006.84     1.405017E-7
         4007.243     1.404841E-7
         4007.646     1.404664E-7
         4008.048     1.404486E-7
         4008.449     1.404311E-7
         4008.851     1.404133E-7
         4009.256     1.403953E-7
         4009.659     1.403774E-7
         4010.062     1.403587E-7
         4010.465     1.403362E-7
         4010.868     1.403136E-7
         4011.271     1.402911E-7
         4011.674     1.402685E-7
         4012.077     1.402459E-7
          4012.48     1.402232E-7
         4012.885     1.402004E-7
         4013.286     1.401777E-7
         4013.689     1.401550E-7
         4014.093     1.401321E-7
         4014.496     1.401093E-7
         4014.899     1.400864E-7
         4015.302     1.400634E-7
         4015.706     1.400404E-7
         4016.109     1.400173E-7
         4016.515     1.399939E-7
         4016.919     1.399705E-7
         4017.322     1.399473E-7
         4017.726     1.399241E-7
          4018.13     1.399007E-7
         4018.533     1.398773E-7
         4018.935     1.398539E-7
         4019.339     1.398305E-7
         4019.742     1.398071E-7
         4020.148     1.397862E-7
         4020.552     1.397702E-7
         4020.956     1.397541E-7
          4021.36     1.397379E-7
         4021.764     1.397218E-7
         4022.168     1.397056E-7
         4022.573     1.396893E-7
         4022.977     1.396729E-7
         4023.381     1.396566E-7
         4023.787     1.396402E-7
         4024.189     1.396238E-7
         4024.594     1.396073E-7
         4024.998     1.395907E-7
         4025.402     1.395741E-7
         4025.807     1.395574E-7
         4026.211     1.395407E-7
         4026.616     1.395239E-7
          4027.02     1.395070E-7
         4027.427     1.394900E-7
         4027.832     1.394729E-7
         4028.236     1.394559E-7
         4028.641     1.394389E-7
         4029.046     1.394219E-7
          4029.45     1.394047E-7
         4029.853     1.393875E-7
         4030.258     1.393652E-7
         4030.663     1.393400E-7
          4031.07     1.393146E-7
         4031.475     1.392893E-7
         4031.882     1.392639E-7
         4032.285     1.392386E-7
         4032.693     1.392130E-7
         4033.098     1.391875E-7
         4033.503     1.391620E-7
         4033.908     1.391363E-7
         4034.313     1.391107E-7
         4034.719     1.390850E-7
         4035.124     1.390593E-7
          4035.53     1.390335E-7
         4035.935     1.390078E-7
          4036.34     1.389819E-7
         4036.746     1.389559E-7
