#  Table F098M.dat  Sat 15:28:37 03-Oct-2009

#      WAVELENGTH      THROUGHPUT
#       angstroms                

            7999.              0.
         7999.649     1.450455E-6
         8000.294     2.993508E-5
         8000.944     2.993897E-5
         8001.595     2.994285E-5
         8002.245     2.994674E-5
         8002.895     2.995064E-5
         8003.545     2.995453E-5
         8004.191     2.995840E-5
         8004.841     2.996228E-5
         8005.492     2.996617E-5
         8006.138     2.997005E-5
         8006.789     2.997394E-5
         8007.439     2.997783E-5
          8008.09     2.998173E-5
          8008.74     2.998562E-5
         8009.391     2.998952E-5
         8010.038     2.999341E-5
         8010.688     2.999757E-5
         8011.339     3.000170E-5
         8011.986     3.000582E-5
         8012.637     3.000997E-5
         8013.288     3.001411E-5
         8013.939     3.001826E-5
         8014.585     3.002238E-5
         8015.237     3.002654E-5
         8015.888     3.003068E-5
         8016.535     3.003481E-5
         8017.187     3.003896E-5
         8017.838     3.004311E-5
         8018.485     3.004724E-5
         8019.136     3.005139E-5
         8019.792     3.005558E-5
         8020.439     3.005979E-5
         8021.091     3.006408E-5
         8021.743     3.006837E-5
          8022.39     3.007263E-5
         8023.042     3.007691E-5
         8023.694     3.008121E-5
         8024.342     3.008547E-5
         8024.994     3.008977E-5
          8025.65     3.009409E-5
         8026.298     3.009835E-5
          8026.95     3.010264E-5
         8027.602     3.010694E-5
          8028.25     3.011121E-5
         8028.902     3.011551E-5
         8029.555     3.011981E-5
         8030.203     3.012401E-5
         8030.855     3.012809E-5
         8031.512     3.013221E-5
          8032.16     3.013626E-5
         8032.813     3.014036E-5
         8033.465     3.014443E-5
         8034.114     3.014850E-5
         8034.767     3.015258E-5
         8035.419     3.015668E-5
         8036.068     3.016074E-5
         8036.721     3.016483E-5
         8037.378     3.016895E-5
         8038.027     3.017302E-5
          8038.68     3.017711E-5
         8039.333     3.018120E-5
         8039.982     3.018527E-5
         8040.635     3.018939E-5
         8041.289     3.019352E-5
         8041.938     3.019762E-5
         8042.591     3.020176E-5
         8043.249     3.020591E-5
         8043.898     3.021000E-5
         8044.552     3.021414E-5
         8045.205     3.021827E-5
         8045.859     3.022240E-5
         8046.504     3.022647E-5
         8047.158     3.023061E-5
         8047.812     3.023474E-5
         8048.461     3.023886E-5
         8049.119     3.024301E-5
         8049.773     3.024715E-5
         8050.423     3.025126E-5
         8051.077     3.025541E-5
         8051.731     3.025955E-5
         8052.381     3.026367E-5
         8053.035     3.026781E-5
         8053.689     3.027196E-5
          8054.34     3.027610E-5
         8054.999     3.028027E-5
         8055.653     3.028441E-5
         8056.303     3.028853E-5
         8056.958     3.029269E-5
         8057.612     3.029684E-5
         8058.263     3.030097E-5
         8058.917     3.030512E-5
         8059.572     3.030929E-5
         8060.223     3.031341E-5
         8060.882     3.031759E-5
         8061.537     3.032175E-5
         8062.188     3.032587E-5
         8062.843     3.033004E-5
         8063.498     3.033419E-5
         8064.148     3.033833E-5
         8064.804     3.034249E-5
         8065.459     3.034666E-5
          8066.11     3.035079E-5
          8066.77     3.035498E-5
         8067.425     3.035914E-5
         8068.076     3.036328E-5
         8068.732     3.036745E-5
         8069.387     3.037161E-5
         8070.039     3.037575E-5
         8070.694     3.037993E-5
          8071.35     3.038410E-5
         8072.001     3.038824E-5
         8072.657     3.039242E-5
         8073.318     3.039663E-5
         8073.969     3.040077E-5
         8074.625     3.040496E-5
         8075.281     3.040913E-5
         8075.938     3.041331E-5
         8076.589     3.041746E-5
         8077.246     3.042164E-5
         8077.897     3.042580E-5
         8078.554     3.042998E-5
          8079.21     3.043415E-5
         8079.867     3.043834E-5
         8080.519     3.044249E-5
         8081.175     3.044669E-5
         8081.832     3.045087E-5
         8082.484     3.045503E-5
         8083.141     3.045923E-5
         8083.797     3.046341E-5
          8084.45     3.046759E-5
         8085.111     3.047181E-5
         8085.768     3.047600E-5
          8086.42     3.048017E-5
         8087.078     3.048435E-5
         8087.735     3.048856E-5
         8088.388     3.049273E-5
         8089.044     3.049693E-5
         8089.702     3.050113E-5
         8090.355     3.050529E-5
         8091.017     3.050952E-5
         8091.674     3.051372E-5
         8092.327     3.051789E-5
         8092.984     3.052209E-5
         8093.642     3.052629E-5
         8094.295     3.053046E-5
         8094.953     3.053467E-5
         8095.611     3.053887E-5
         8096.264     3.054305E-5
         8096.926     3.054727E-5
         8097.584     3.055149E-5
         8098.238     3.055566E-5
         8098.896     3.055986E-5
         8099.554     3.056407E-5
         8100.208     3.056827E-5
         8100.866     3.057247E-5
         8101.524     3.057668E-5
         8102.178     3.058088E-5
          8102.84     3.058511E-5
         8103.499     3.058933E-5
         8104.153     3.059352E-5
         8104.811     3.059774E-5
          8105.47     3.060195E-5
         8106.128     3.060617E-5
         8106.783     3.061038E-5
         8107.441     3.061459E-5
           8108.1     3.061882E-5
         8108.754     3.062301E-5
         8109.413     3.062724E-5
         8110.072     3.063145E-5
         8110.727     3.063565E-5
         8111.386     3.063988E-5
         8112.045     3.064410E-5
         8112.699     3.064829E-5
         8113.358     3.065253E-5
         8114.018     3.065674E-5
         8114.677     3.066097E-5
         8115.336     3.066520E-5
         8115.996     3.066942E-5
         8116.651     3.067362E-5
          8117.31     3.067785E-5
          8117.97     3.068209E-5
         8118.625     3.068629E-5
         8119.285     3.069052E-5
         8119.944     3.069476E-5
         8120.604     3.069899E-5
         8121.264     3.070323E-5
         8121.924     3.070747E-5
         8122.579     3.071168E-5
         8123.239     3.071593E-5
         8123.899     3.072016E-5
         8124.555     3.072437E-5
         8125.215     3.072862E-5
         8125.875     3.073286E-5
         8126.536     3.073711E-5
         8127.196     3.074136E-5
         8127.856     3.074560E-5
         8128.512     3.074983E-5
         8129.172     3.075406E-5
         8129.833     3.075833E-5
         8130.489     3.076253E-5
          8131.15     3.076680E-5
         8131.811     3.077105E-5
         8132.471     3.077530E-5
         8133.132     3.077956E-5
         8133.793     3.078381E-5
         8134.449     3.078803E-5
          8135.11     3.079229E-5
         8135.771     3.079653E-5
         8136.432     3.080080E-5
         8137.089     3.080504E-5
          8137.75     3.080930E-5
         8138.416     3.081358E-5
         8139.072     3.081781E-5
         8139.734     3.082207E-5
         8140.395     3.082634E-5
         8141.047     3.083053E-5
         8141.709     3.083479E-5
         8142.371     3.083906E-5
         8143.028     3.084329E-5
         8143.689     3.084755E-5
         8144.355     3.085184E-5
         8145.013     3.085608E-5
         8145.675     3.086035E-5
         8146.336     3.086462E-5
         8146.994     3.086886E-5
         8147.656     3.087313E-5
