#  

#      WAVELENGTH      THROUGHPUT
#       angstroms                
4561.88 0.0008310053
4562.38 0.0008633497
4562.88 0.0008957432
4563.39 0.0009281240
4563.89 0.0009606807
4564.40 0.0009931273
4564.90 0.0010255611
4565.40 0.0010580449
4565.91 0.0010905471
4566.41 0.0011230367
4566.92 0.0011557656
4567.42 0.0011883199
4567.92 0.0012207348
4568.43 0.0012534835
4568.94 0.0012862834
4569.44 0.0013189083
4569.94 0.0013514252
4570.45 0.0013842767
4570.95 0.0014169873
4571.46 0.0014497157
4571.96 0.0014826210
4572.47 0.0015153843
4572.97 0.0015481968
4573.48 0.0015809973
4573.98 0.0016140063
4574.49 0.0016468738
4574.99 0.0016795685
4575.50 0.0017126605
4576.01 0.0017455796
4576.51 0.0017785188
4577.02 0.0018114764
4577.52 0.0018444532
4578.03 0.0018776393
4578.53 0.0019106799
4579.04 0.0019438982
4579.54 0.0019767853
4580.05 0.0020101292
4580.56 0.0020460347
4581.06 0.0020815803
4581.57 0.0021174879
4582.07 0.0021532443
4582.58 0.0021892272
4583.09 0.0022250576
4583.59 0.0022606989
4584.10 0.0022967407
4584.60 0.0023326256
4585.11 0.0023685646
4585.62 0.0024046616
4586.12 0.0024404320
4586.63 0.0024764308
4587.13 0.0025124142
4587.64 0.0025486253
4588.15 0.0025848554
4588.66 0.0026207541
4589.16 0.0026570217
4589.67 0.0026931356
4590.18 0.0027325440
4590.69 0.0027783204
4591.19 0.0028238561
4591.70 0.0028694600
4592.21 0.0029150886
4592.71 0.0029607411
4593.22 0.0030066365
4593.73 0.0030521135
4594.24 0.0030980551
4594.74 0.0031435827
4595.25 0.0031896175
4595.76 0.0032351909
4596.27 0.0032812706
4596.77 0.0033271056
4597.28 0.0033730139
4597.79 0.0034191705
4598.30 0.0034651680
4598.80 0.0035111427
4599.31 0.0035573650
4599.82 0.0036036584
4600.33 0.0036606113
4600.84 0.0037239244
4601.35 0.0037875767
4601.85 0.0038509556
4602.36 0.0039140666
4602.87 0.0039778177
4603.38 0.0040412951
4603.89 0.0041048647
4604.39 0.0041681044
4604.90 0.0042320467
4605.41 0.0042956504
4605.92 0.0043593456
4606.43 0.0044233861
4606.94 0.0044874613
4607.45 0.0045509456
4607.95 0.0046148262
4608.47 0.0046793130
4608.97 0.0047429728
4609.48 0.0048068961
4609.99 0.0048712189
4610.50 0.0049513092
4611.01 0.0050312590
4611.52 0.0051120228
4612.03 0.0051924449
4612.54 0.0052729873
4613.04 0.0053531062
4613.56 0.0054341190
4614.06 0.0055147075
4614.57 0.0055954112
4615.09 0.0056765438
4615.60 0.0057577160
4616.10 0.0058381529
4616.61 0.0059190988
4617.13 0.0060003960
4617.64 0.0060814259
4618.15 0.0061628050
4618.66 0.0062439223
4619.17 0.0063250790
4619.68 0.0064062716
4620.19 0.0064966586
4620.70 0.0066029534
4621.21 0.0067093075
4621.72 0.0068158215
4622.23 0.0069222793
4622.74 0.0070293922
4623.25 0.0071354457
4623.76 0.0072427985
4624.27 0.0073494753
4624.78 0.0074563942
4625.29 0.0075632684
4625.80 0.0076707119
4626.31 0.0077777913
4626.83 0.0078853331
4627.34 0.0079930432
4627.85 0.0080997861
4628.36 0.0082070824
4628.87 0.0083149395
4629.38 0.0084223374
4629.89 0.0085292813
4630.40 0.0086566157
4630.91 0.0087901833
4631.43 0.0089231757
4631.94 0.0090554739
4632.45 0.0091892392
4632.96 0.0093224317
4633.47 0.0094556987
4633.98 0.0095897969
4634.50 0.0097231812
4635.01 0.0098566380
4635.52 0.0099902736
4636.04 0.0101252507
4636.54 0.0102582769
4637.06 0.0103921220
4637.57 0.0105266517
4638.08 0.0106606076
4638.59 0.0107940389
4639.10 0.0109282900
4639.62 0.0110630765
4640.13 0.0112064059
4640.64 0.0113753080
4641.15 0.0115460596
4641.67 0.0117160595
4642.18 0.0118861401
4642.69 0.0120572996
4643.21 0.0122283838
4643.72 0.0123979368
4644.23 0.0125685403
4644.74 0.0127398760
4645.26 0.0129106440
4645.77 0.0130823070
4646.29 0.0132532370
4646.80 0.0134242536
4647.31 0.0135953541
4647.82 0.0137666920
4648.34 0.0139379630
4648.85 0.0141094977
4649.36 0.0142809394
4649.88 0.0144534429
4650.39 0.0146549773
4650.90 0.0148648635
4651.42 0.0150768169
4651.93 0.0152878582
4652.44 0.0154992537
4652.96 0.0157105615
4653.47 0.0159231624
4653.99 0.0161348713
4654.50 0.0163464924
4655.02 0.0165606288
4655.53 0.0167716301
4656.05 0.0169837337
4656.56 0.0171959709
4657.07 0.0174095344
4657.59 0.0176209557
4658.10 0.0178334891
4658.62 0.0180473186
4659.13 0.0182602591
4659.64 0.0184723401
4660.16 0.0186970236
4660.67 0.0189441715
4661.19 0.0191917004
4661.70 0.0194403212
4662.22 0.0196881202
4662.73 0.0199360126
4663.25 0.0201838154
4663.77 0.0204333916
4664.28 0.0206816958
4664.80 0.0209301460
4665.31 0.0211787291
4665.83 0.0214288252
4666.34 0.0216764643
4666.85 0.0219253939
4667.37 0.0221759032
4667.89 0.0224253700
4668.40 0.0226749350
4668.92 0.0229246244
4669.43 0.0231744383
4669.95 0.0234246263
4670.47 0.0236998266
4670.98 0.0239781254
4671.50 0.0242536358
4672.01 0.0245308568
4672.53 0.0248095219
4673.05 0.0250869990
4673.56 0.0253646033
4674.08 0.0256426094
4674.60 0.0259218159
4675.11 0.0262000837
4675.63 0.0264781412
4676.14 0.0267566181
4676.66 0.0270353134
4677.18 0.0273141220
4677.69 0.0275943485
4678.21 0.0278720679
4678.72 0.0281512080
4679.24 0.0284320735
4679.76 0.0287114759
4680.27 0.0290157952
4680.79 0.0293414722
4681.31 0.0296694319
4681.83 0.0299957073
4682.34 0.0303221352
4682.86 0.0306487372
4683.38 0.0309770277
4683.90 0.0313042198
4684.41 0.0316312730
4684.93 0.0319603050
4685.45 0.0322865494
4685.97 0.0326145186
4686.48 0.0329440817
4687.00 0.0332722645
4687.52 0.0335991010
4688.03 0.0339279428
4688.55 0.0342581534
4689.07 0.0345873057
4689.59 0.0349182210
4690.11 0.0352741647
4690.63 0.0357300131
4691.14 0.0361860931
4691.66 0.0366445623
4692.18 0.0371015361
4692.70 0.0375583471
4693.22 0.0380158193
4693.74 0.0384756823
4694.25 0.0389310376
4694.77 0.0393892492
4695.29 0.0398498007
4695.81 0.0403083714
4696.33 0.0407676399
4696.84 0.0412245742
4697.36 0.0416861000
4697.88 0.0421461620
4698.40 0.0426063594
4698.93 0.0430711529
4699.44 0.0435296431
4699.96 0.0439905384
4700.48 0.0443785638
4701.00 0.0447589848
4701.52 0.0451392674
4702.04 0.0455200822
4702.56 0.0459028133
4703.08 0.0462835735
4703.60 0.0466649192
4704.11 0.0470464273
4704.63 0.0474280887
4705.15 0.0478103101
4705.67 0.0481923756
4706.19 0.0485746299
4706.71 0.0489574254
4707.23 0.0493404378
4707.75 0.0497254401
4708.27 0.0501087766
4708.79 0.0504922688
4709.31 0.0508777431
4709.83 0.0512619667
4710.35 0.0516541629
4710.87 0.0520507376
4711.40 0.0524489990
4711.92 0.0528459759
4712.44 0.0532431538
4712.96 0.0536423723
4713.48 0.0540379804
4714.00 0.0544360084
4714.52 0.0548339906
4715.04 0.0552344149
4715.56 0.0556308439
4716.08 0.0560296946
4716.60 0.0564306802
4717.12 0.0568299814
4717.64 0.0572271492
4718.16 0.0576309138
4718.69 0.0580311292
4719.21 0.0584312021
4719.73 0.0588318388
4720.25 0.0592454132
4720.77 0.0596699096
4721.29 0.0600946220
4721.81 0.0605215818
4722.33 0.0609447614
4722.85 0.0613705944
4723.38 0.0617961975
4723.90 0.0622243989
4724.42 0.0626503554
4724.94 0.0630749364
4725.46 0.0635036379
4725.98 0.0639305794
4726.51 0.0643578747
4727.03 0.0647853730
4727.55 0.0652153901
4728.07 0.0656432159
4728.60 0.0660716881
4729.12 0.0665023930
4729.64 0.0669308163
4730.16 0.0673486804
4730.69 0.0677444580
4731.21 0.0681381626
4731.73 0.0685319967
4732.25 0.0689241898
4732.78 0.0693206557
4733.30 0.0697150379
4733.82 0.0701099276
4734.34 0.0705050741
4734.87 0.0709004628
4735.39 0.0712960106
4735.91 0.0716936213
4736.44 0.0720898876
4736.96 0.0724859585
4737.48 0.0728826355
4738.01 0.0732813688
4738.53 0.0736784396
4739.05 0.0740753235
4739.58 0.0744750078
4740.10 0.0748795659
4740.62 0.0753129364
4741.15 0.0757445145
4741.67 0.0761808196
4742.19 0.0766152687
4742.72 0.0770495561
4743.24 0.0774868001
4743.77 0.0779193345
4744.29 0.0783545253
4744.81 0.0787923816
4745.34 0.0792280886
4745.86 0.0796619745
4746.39 0.0801005146
