#  Table f125w.tab  Thu 17:43:23 03-Sep-2009

#      WAVELENGTH      THROUGHPUT
#       angstroms                

            7999.              0.
         7999.649     7.097723E-9
         8000.294     1.508060E-7
         8000.944     1.551759E-7
         8001.595     1.595503E-7
         8002.245     1.636099E-7
         8002.895     1.634118E-7
         8003.545     1.632135E-7
         8004.191     1.630167E-7
         8004.841     1.628183E-7
         8005.492     1.626199E-7
         8006.138     1.624226E-7
         8006.789     1.622241E-7
         8007.439     1.620255E-7
          8008.09     1.618267E-7
          8008.74     1.616280E-7
         8009.391     1.614291E-7
         8010.038     1.612316E-7
         8010.688     1.610340E-7
         8011.339     1.608362E-7
         8011.986     1.606397E-7
         8012.637     1.604418E-7
         8013.288     1.602439E-7
         8013.939     1.600458E-7
         8014.585     1.598491E-7
         8015.237     1.596509E-7
         8015.888     1.594525E-7
         8016.535     1.592555E-7
         8017.187     1.590571E-7
         8017.838     1.588585E-7
         8018.485     1.586614E-7
         8019.136     1.584628E-7
         8019.792     1.582626E-7
         8020.439     1.580657E-7
         8021.091     1.578674E-7
         8021.743     1.576692E-7
          8022.39     1.601042E-7
         8023.042     1.692025E-7
         8023.694     1.783036E-7
         8024.342     1.873526E-7
         8024.994     1.964589E-7
          8025.65     2.056292E-7
         8026.298     2.146860E-7
          8026.95     2.238001E-7
         8027.602     2.329237E-7
          8028.25     2.419883E-7
         8028.902     2.511172E-7
         8029.555     2.602486E-7
         8030.203     2.693204E-7
         8030.855     2.784550E-7
         8031.512     2.876605E-7
          8032.16     2.967386E-7
         8032.813     3.058876E-7
         8033.465     3.150321E-7
         8034.114     3.241244E-7
         8034.767     3.332808E-7
         8035.419     3.424398E-7
         8036.068     3.515395E-7
         8036.721     3.607034E-7
         8037.378     3.699384E-7
         8038.027     3.790456E-7
          8038.68     3.882240E-7
         8039.333     3.974046E-7
         8039.982     4.065193E-7
         8040.635     4.157055E-7
         8041.289     4.248942E-7
         8041.938     4.340235E-7
         8042.591     4.346212E-7
         8043.249     4.289884E-7
         8043.898     4.234336E-7
         8044.552     4.178356E-7
         8045.205     4.122402E-7
         8045.859     4.066389E-7
         8046.504     4.011115E-7
         8047.158     3.955072E-7
         8047.812     3.899014E-7
         8048.461     3.843317E-7
         8049.119     3.786849E-7
         8049.773     3.730702E-7
         8050.423     3.674959E-7
         8051.077     3.618782E-7
         8051.731     3.562589E-7
         8052.381     3.506799E-7
         8053.035     3.450575E-7
         8053.689     3.394335E-7
          8054.34     3.338417E-7
         8054.999     3.281767E-7
         8055.653     3.225480E-7
         8056.303     3.169514E-7
         8056.958     3.113196E-7
